Scenario Description,Agent Response,
What is the Title of this Study Maxis-02,"The title of the Maxis-02 study is ""An Open-label, Dose Escalation, Phase 1a/1b Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of MAX-500 as a Single Agent and in Combination With DRUG2 in Adult Patients With Metastatic Solid Tumors.""",
What is the Trial Primary objective for study Maxis-02,The primary objective of the Maxis-02 study is to determine the safety and tolerability of MAX-500 administered as an SA (single agent) and in combination with pembrolizumab in patients with select locally advanced or metastatic solid tumors.,
What are all Trial Secondary objective for study Maxis-02,The secondary objectives for study Maxis-02 are: 1. To determine the PAD range and RP2D of MAX-500 administered as an SA and in combination with pembrolizumab. 2. To characterize the single and multiple dose PK of MAX-500 administered as an SA and in combination with pembrolizumab. 3. To evaluate the preliminary antitumor activity of MAX-500 administered as an SA and in combination with pembrolizumab. 4. To evaluate the dose-responsive impact on tumor immune cell infiltration and activation after MAX-500 administered as an SA and in combination with pembrolizumab. 5. To determine the immunogenicity of MAX-500.,
Give me Distribution of SEX for study Maxis-02,"Based on the data for the Maxis-02 study, there are 28 male participants (M) and 14 female participants (F). This shows a distribution where males make up approximately two-thirds of the study population.",
Give me Distribution of ARM for study Maxis-02,The distribution of ARM for study Maxis-02 is as follows: - Screen Failure: 13 participants - MAX-500 16 ug/kg: 11 participants - MAX-500 8 ug/kg: 4 participants - MAX-500 60 ug/kg: 4 participants - MAX-500 40 ug/kg: 4 participants - MAX-500 24 ug/kg: 3 participants - DRUG2 + MAX-500 24 ug/kg: 3 participants,
Give me all site id list for study Maxis-02,"The site IDs for Maxis-02 are 58001, 58002, 58004, 58005, 58006, and 58008.",
Give me gender distribution by ARM for Study Maxis-02,"Here's the gender distribution by ARM for Maxis-02: DRUG2 + MAX-500 24 ug/kg: 1 Female, 2 Males MAX-500 8 ug/kg: 0 Females, 4 Males MAX-500 16 ug/kg: 2 Females, 9 Males MAX-500 24 ug/kg: 1 Female, 2 Males MAX-500 40 ug/kg: 4 Females, 0 Males MAX-500 60 ug/kg: 2 Females, 2 Males Screen Failure: 4 Females, 9 Males",
Give me total number of Serious Adverse Events for Study Maxis-02,The total number of Serious Adverse Events for Study Maxis-02 is 61.,
Which Site ID has most number of serious Adverse Events for Study Maxis-02,"Site ID 58001 has the most number of serious Adverse Events for Study Maxis-02, with 28 serious AEs reported.",Sometimes rarely giving 0
Give Serious Adverse Events by Site for Study Maxis-02,"Here are the Serious Adverse Events by Site for Study Maxis-02: Site 58001 (11 subjects, 28 events): Abdominal pain, dyspnea, sepsis, CRS, lung infection, delirium, worsening abdominal pain, hyperbilirubinemia, small bowel obstruction, cytokine release syndrome, cerebellar stroke, abdominal infection, ascites, pneumothorax, urinary retention, adrenal insufficiency, hypotension, prenyscope, fever, bacteremia, LFT elevation, and perforation. Site 58002 (4 subjects, 4 events): Fall, superior mesenteric vein thrombosis, left sided facial droop, and thromboembolic event. Site 58004 (4 subjects, 11 events): Cytokine release syndrome, diarrhea, peritoneal carcinomatosis, sepsis, severe abdominal pain, worsening abdominal pain, and hyperbilirubinemia. Site 58005 (6 subjects, 10 events): Cytokine release syndrome, abdominal pain from underlying pancreatic adenocarcinoma, cytokine release syndrome (CRS), pneumonia, sepsis, supraventricular tachycardia, bronchial obstruction, and pulmonary embolism. Site 58006 (3 subjects, 8 events): Cytokine release syndrome (CRS), GI bleed, sepsis, and upper GI bleed.",
